simple_number,unique_contrast_count,contrasts_in_NMA,record_id,aggregated,wwc_rating,measure_type,intervention_content,unique_study_count,...10,sort to match WWC data export,sortcode,TO1_NNMA,full_citation,contrast_name,subtract duplicated comparison samples,Abbreviated Citation,Abbreviated Citation for NNMA Paper,publication_year,OLD Abbreviated Citation,...21,study_design,contrast_id,OLD DONT USE,...25,New disaggregate,simplified contrast name (intervention),simplified contrast name (comparison),Link to MRG,contrast_primacy,measure_type_details,measure_intention,grade_level_key...33,...34,...35,...36,measure_name,domain,13domains_granularWWC,domain_numeric,intervention_n,comparison_n,full_sample_size,es_id,effect_size,standard_error,variance,contrast_name...48,subtract duplicated comparison samples from multicontrast studies to calculate overall sample size,TvsT,FULL WP,PART WP,FRACTIONS,WHOLE NUMBERS,NL_TX,N_TX,SEO_TX,...58,TES_TX,ES_TX,TV_TX,VF_TX,SV_TX,F_TX,FA_TX,FG_TX,FGA_TX,FAO_TX,FGO_TX,PRB_TX,PRM_TX,BX_TX,FB_TX,FC_TX,FBO_TX,FCO_TX,FBC_TX,FI_TX,FE_TX,FWOF_TX,FF_TX,FIO_TX,FEO_TX,FIE_TX,RS_TX,RV_TX,R2D_TX,R3D_TX,GS_TX,MS_TX,NL_COMP,N_COMP,SEO_COMP,TES_COMP,ES_COMP,TV_COMP,VF_COMP,SV_COMP,F_COMP,FA_COMP,FG_COMP,FGA_COMP,FAO_COMP,FGO_COMP,PRB_COMP,PRM_COMP,BX_COMP,FB_COMP,FC_COMP,FBO_COMP,FCO_COMP,FBC_COMP,FI_COMP,FE_COMP,FWOF_COMP,FF_COMP,FIO_COMP,FEO_COMP,FIE_COMP,RS_COMP,RV_COMP,R2D_COMP,R3D_COMP,GS_COMP,MS_COMP,intervention_prelim,comparison_prelim,Included in NMAs when n=1 were excluded,Included in NMAs when n=1 were INcluded,intervention_lowdose,comparison_lowdose,intervention_hi_or_lo,comparison_hi_or_lo,intervention_combo,comparison_combo,classrooms,schools,geographic_loc,TvsTwithICcodes,TvsTwithoutICcodes,control_nature,active_passive,control_nature_numeric,comparison_desc,control_group_relevance,dosage_minutes_per-session,dosage_weekly_freq,dosage_weeks,dosage_overall_minutes,dosage_overall_minutes_midpoint,dosage_overall_hours,group_size,group_size_average,group_size_category,grade_level,grade_level_key...156,Technology,setting,measure_class,measure_developer,measure_developer_numeric,interventionist_desc,interventionist,interventionist_numeric,initial_training,initial_training_duration,initial_training_format,ongoing_training,ongoing_training_with NR,ongoing_training_duration,ongoing_training_format,SPED or MD? (SK)NO!,research_lab,Checked,...175,...176,...177,...178,group1_id,group2_id,F,FF,FF.RS,NL.FF.RS,NL.RS,NL.SE.FF.RS,NL.SE.VF.RS,RS,SE.RS,VF.FF.RS,VF.RS,BAU,contrast,design,NL,VF
,Unique,1,MI21849,IN,MWOR,Main,W,NA,NA,331,396,TO1,"Powell, S. R., Fuchs, L. S., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2009). Effects of fact retrieval tutoring on third-grade students with math difficulties with and without reading difficulties. Learning Disabilities Research & Practice, 24(1), 1-11. doi:10.1111/j.1540-5826.2008.01272.x",Fact retrieval practice (incudes Math Flash [number combination intervention]) vs. Control,NA,Powell et al. (2009),NA,2009,Powell et al. (2009),Match,Randomized Control Trial,87219,Unique,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Automatic Fact Retrieval,Whole Numbers,Whole Numbers Computation,2,33,33,66,209,0.61,0.24888034395173986,0.063425,Fact retrieval practice (incudes Math Flash [number combination intervention]) vs. Control,NA,0,NA,NA,NA,1,NA,1,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV  + FF or FWOF + RS or RV,BAU,58,12,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,21,,2,2,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,0,0,0,0,0,1,0,0,0,0,0,-1,NL+SE+FF+RS_BAU,NL+SE+FF+RS_BAU,0,0
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,326,391,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Math Wise (calculation intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87222,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Second- Grade Story Problems (Fuchs, Seethaler, et al., 2008)",Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,96,78,174,205,-0.16,0.15201184146877525,0.023310742705570292,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV  + FF or FWOF + RS or RV,BAU,58,12,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,21,,2,2,4,,None,,researcher compiled,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,0,0,0,1,0,0,0,0,0,-1,NL+SE+FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,327,392,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Math Wise (calculation intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87222,NA,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Second-Grade Calculations Battery (SGCB; Fuchs, Hamlett, & Powell, 2003): Double-digit",Whole Numbers,Whole Numbers Computation,2,96,78,174,206,1.34947205,0.16799419145720934,0.028470153089855357,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV  + FF or FWOF + RS or RV,BAU,58,12,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,21,,2,2,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,0,0,0,1,0,0,0,0,0,-1,NL+SE+FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,328,393,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Math Wise (calculation intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87222,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Second-Grade Calculations Battery (SGCB; Fuchs, Hamlett, & Powell, 2003): Single-digit",Whole Numbers,Whole Numbers Computation,2,96,78,174,207,1.03591478,0.16152857783132069,0.02632085601425549,NA,NA,0,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV  + FF or FWOF + RS or RV,BAU,58,12,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,21,,2,2,4,,None,,independent,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,0,0,0,1,0,0,0,0,0,-1,NL+SE+FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,Unique,1,MI21847,IN,MWR,Main,W,Unique,NA,329,394,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Math Wise (calculation intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87222,Unique,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Word-Problem - Distal Outcome (composite) [Powell et al. 2015],Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,96,78,174,208,-0.0728025,0.15182152529722584,0.023252409958461815,Math Wise (calculation intervention) vs. Control,78,0,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,NA,BAU,FF+RS,BAU,FF or FWOF + RS or RV,BAU,58,18,Mid-Atlantic region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,3.125,,1,1,1,,None,,researcher,researcher developed,1,Tutors (undergraduate and graduate students),research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,3,2,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,321,386,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Pirate Math (word problem intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87196,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Calculations - Distal Outcome (composite) [Powell et al. 2015],Whole Numbers,Whole Numbers Computation,2,91,78,169,200,0.358,0.15482766872544398,0.02418870724147647,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VF+FF+RS,BAU,X,X,NA,BAU,VF+FF+RS,BAU,VF or TV + FF or FWOF + RS or RV,BAU,58,18,Mid-Atlantic region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,3.125,,1,1,1,,None,,researcher,researcher developed,1,Tutors (undergraduate and graduate students),research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,4,2,0,1,0,0,0,0,0,1,0,1,0,-1,VF+FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,1
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,322,387,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Pirate Math (word problem intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87196,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Dynamic Assessment of Algebraic Knowledge (Fuchs et al., 2008)",Whole Numbers,Algebra and Algebraic Reasoning,2,91,78,169,201,0.345,0.15474111030678694,0.02416166877993801,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,NA,1,VF+FF+RS,FF+RS,X,X,NA,NA,VF+FF+RS,FF+RS,VF or TV + FF or FWOF + RS or RV,FF + FWOF or RS + RV,58,18,Mid-Atlantic region,1,NA,Alternate Treatment,Active,1,Addition tutoring without embedded vocabulary,,,3,,,,3.125,,1,1,1,,None,,researcher,researcher developed,1,Tutors (undergraduate and graduate students),research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,4,5,0,1,-1,0,0,0,0,1,0,1,0,0,VF+FF+RS_FF+RS,NL+SE+FF+RS_BAU_VF+FF+RS,0,1
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,323,388,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Pirate Math (word problem intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87196,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Second-Grade Calculations Battery (SGCB; Fuchs, Hamlett, & Powell, 2003): Double-digit",Whole Numbers,Whole Numbers Computation,2,91,78,169,202,0.341,0.15471511154416762,0.024153550436742742,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,SEO+TV,BAU,FF+RS+SEO+TV,BAU,TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,19,4,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,19.5,,1,1,3,,None,,published,independent,2,Interventionists (pursuing or obtained graduate degree),research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,NA,1,MI21847,IN,MWR,Main,W,NA,NA,324,389,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Pirate Math (word problem intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87196,NA,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Second-Grade Calculations Battery (SGCB; Fuchs, Hamlett, & Powell, 2003): Single-digit",Whole Numbers,Whole Numbers Computation,2,91,78,169,203,0.482,0.15581080454344884,0.024496872921949842,NA,NA,0,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV  + FF or FWOF + RS or RV,BAU,58,12,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,21,,2,2,4,,None,,researcher compiled,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,1,TRUE,FALSE,FALSE,FALSE,FALSE,7,2,0,0,0,0,0,1,0,0,0,0,0,-1,NL+SE+FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,Unique,1,MI21847,IN,MWR,Main,W,Unique,NA,325,390,TO1,"Powell, S. R., Fuchs, L. S., Cirino, P. T., Fuchs, D., Compton, D. L., & Changas, P. C. (2015). Effects of a Multitier Support System on Calculation, Word Problem, and Prealgebraic Performance among At-Risk Learners. Exceptional Children, 81(4), 443-470.",Pirate Math (word problem intervention) vs. Control,NA,"Powell, Fuchs et al. (2015)","Powell, Fuchs et al. (2015)",2015,"Powell, Fuchs et al. (2015)",Match,Quasi-Experimental Design,87196,Unique,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Word-Problem - Distal Outcome (composite) [Powell et al. 2015],Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,91,78,169,204,-0.016,0.15361177508328072,0.02381028120597351,Pirate Math (word problem intervention) vs. Control,NA,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,SEO+TV,BAU,FF+RS+SEO+TV,BAU,TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,19,4,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,19.5,,1,1,3,,None,,researcher,researcher developed,1,Interventionists (pursuing or obtained graduate degree),research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,6,2,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,NL+SE+FF+RS_BAU_VF+FF+RS,0,0
,NA,1,MI21846,IN,MWOR,Main,W,NA,NA,NA,384,TO1,"Powell, S. R., Driver, M. K., & Julian, T. E. (2015). The effect of tutoring with nonstandard equations for students with mathematics difficulty. Journal of Learning Disabilities, 48(5), 523-534. doi:10.1177/0022219413512613",Standard + nonstandard equations (combined) tutoring vs. Control,NA,"Powell, Driver et al. (2015)","Powell, Driver et al. (2015)",2015,"Powell, Driver et al. (2015)",Match,Randomized Control Trial,87245_disagg_b,NA,0,YES,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Open Equations- Nonstandard equations,Whole Numbers,Whole Numbers Computation,2,19,14,33,199,1.54,0.3902359556621035,0.1599934837092732,Standard + nonstandard equations (combined) tutoring vs. Control,51,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,TV,BAU,FF+RS+TV,BAU,VF or TV + FF or FWOF + RS or RV,BAU,103,13,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,24,,1,1,3,,None,,researcher,researcher developed,1,Research assistants,research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,FF+RS_BAU,0,0
,NA,1,MI21846,IN,MWOR,Main,W,NA,NA,NA,385,TO1,"Powell, S. R., Driver, M. K., & Julian, T. E. (2015). The effect of tutoring with nonstandard equations for students with mathematics difficulty. Journal of Learning Disabilities, 48(5), 523-534. doi:10.1177/0022219413512613",Standard + nonstandard equations (combined) tutoring vs. Control,NA,"Powell, Driver et al. (2015)","Powell, Driver et al. (2015)",2015,"Powell, Driver et al. (2015)",Match,Randomized Control Trial,87245_disagg_b,NA,0,YES,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Open Equations- Standard equations,Whole Numbers,Whole Numbers Computation,2,19,14,33,194,0.77,0.3558548905300036,0.13304348370927319,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,NA,BAU,FF+RS,BAU,FF or FWOF + RS or RV,BAU,103,13,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,24,,1,1,3,,None,,researcher,researcher developed,1,Research assistants,research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,FF+RS_BAU,0,0
,NA,1,MI21846,IN,MWOR,Main,W,NA,NA,NA,374,TO1,"Powell, S. R., Driver, M. K., & Julian, T. E. (2015). The effect of tutoring with nonstandard equations for students with mathematics difficulty. Journal of Learning Disabilities, 48(5), 523-534. doi:10.1177/0022219413512613",Standard equations tutoring vs. Control,NA,"Powell, Driver et al. (2015)","Powell, Driver et al. (2015)",2015,"Powell, Driver et al. (2015)",Match,Randomized Control Trial,87245_disagg_a,NA,0,YES,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Addition Fluency,Whole Numbers,Whole Numbers Computation,2,18,14,32,189,0.17,0.3479818273173157,0.12743568948412698,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,NA,BAU,FF+RS,BAU,FF or FWOF + RS or RV,BAU,103,13,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,24,,1,1,3,,None,,researcher,researcher developed,1,Research assistants,research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,FF+RS_BAU,0,0
,NA,1,MI21846,IN,MWOR,Main,W,NA,NA,NA,375,TO1,"Powell, S. R., Driver, M. K., & Julian, T. E. (2015). The effect of tutoring with nonstandard equations for students with mathematics difficulty. Journal of Learning Disabilities, 48(5), 523-534. doi:10.1177/0022219413512613",Standard equations tutoring vs. Control,NA,"Powell, Driver et al. (2015)","Powell, Driver et al. (2015)",2015,"Powell, Driver et al. (2015)",Match,Randomized Control Trial,87245_disagg_a,NA,0,YES,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Equal Sign Tasks,Whole Numbers,Whole Numbers Computation,2,18,14,32,190,0.17,0.3479818273173157,0.12743568948412698,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,TV,BAU,FF+RS+TV,BAU,VF or TV + FF or FWOF + RS or RV,BAU,103,13,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,24,,1,1,3,,None,,independent,researcher developed,1,Research assistants,research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,FF+RS_BAU,0,0
,NA,1,MI21846,IN,MWOR,Main,W,NA,NA,NA,376,TO1,"Powell, S. R., Driver, M. K., & Julian, T. E. (2015). The effect of tutoring with nonstandard equations for students with mathematics difficulty. Journal of Learning Disabilities, 48(5), 523-534. doi:10.1177/0022219413512613",Standard equations tutoring vs. Control,NA,"Powell, Driver et al. (2015)","Powell, Driver et al. (2015)",2015,"Powell, Driver et al. (2015)",Match,Randomized Control Trial,87245_disagg_a,NA,0,YES,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Equivalence Problems,Whole Numbers,Whole Numbers Computation,2,18,14,32,191,-0.15,0.34784526819416584,0.127335689484127,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,NA,1,1,1,NA,NA,1,1,1,,,NA,NA,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,TV,BAU,FF+RS+TV,BAU,VF or TV + FF or FWOF + RS or RV,BAU,103,13,Southwest region,NA,NA,Control,Passive,0,Business as usual core mathematics instruction,,,3,,,,24,,1,1,3,,None,,researcher,researcher developed,1,Research assistants,research staff,1,,,,1,,,,,5,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,0,1,1,0,0,0,0,1,0,0,0,-1,FF+RS_BAU,FF+RS_BAU,0,0
